name,domains,web_pages,contact,location_id
Southern Cross University,['scu.edu.au'],['http://www.scu.edu.au/'],"intapps@scu.edu.au, 6620 3876",1
Griffith University,['griffith.edu.au'],['https://www.griffith.edu.au/']," 373 55560 , 373 53781 ",1
Swinburne University of Technology,['swin.edu.au'],['http://www.swin.edu.au/'],,1
Engineering Institute of Technology,['student.eit.edu.au'],['https://www.eit.edu.au/'],,1
Marcus Oldham College,['marcusoldham.vic.edu.au'],['http://www.marcusoldham.vic.edu.au/'],,1
Monash University,"['monash.edu', 'monash.edu.au']",['http://www.monash.edu/'],,1
University of New England,['une.edu.au'],['http://www.une.edu.au/'],"deanunecom@une.edu,comsa@une.edu, 602-2807 , 602-5892, 602-2329",1
Queensland University of Technology,['qut.edu.au'],['http://www.qut.edu.au/'],sa.hubengagement@qut.edu.au,1
Federation University Australia,['federation.edu.au'],['http://federation.edu.au/'],internationaladmissions@federation.edu.au,1
Macquarie University,['mq.edu.au'],['http://www.mq.edu.au/'],"alumni@mq.edu.au, 9850 6410",1
Avondale University,['avondale.edu.au'],['http://www.avondale.edu.au/'],"+61 2 4980 2377 ,+61 2 4980 2251 ,+61 2 4980 2108",1
University of the Sunshine Coast,['usc.edu.au'],['http://www.usc.edu.au/'],"+61 7 5430 2843 ,1800 778 839",1
Australian Correspondence Schools,['acs.edu.au'],['http://www.acs.edu.au/'],"+61 7 5562 1088 , 07 5562 1088 ",1
International College of Tourism and Hotel Management,['icthm.edu.au'],['http://www.icthm.edu.au/'],office@itm-college.eu,1
Box Hill Institute,"['bhtafe.edu.au', 'boxhill.edu.au']","['http://www.bhtafe.edu.au', 'http://www.boxhill.edu.au']",,1
James Cook University of North Queensland,['jcu.edu.au'],['http://www.jcu.edu.au/'],"enquiries@jcu.edu.au, 1800 028 998 - , 1800 050 763 - ",1
University of Notre Dame Australia,['nd.edu.au'],['http://www.nd.edu.au/'],,1
Royal Melbourne Institute of Technology,['rmit.edu.au'],['http://www.rmit.edu.au/'],,1
University of New South Wales,['unsw.edu.au'],['http://www.unsw.edu.au/'],+61 2 9385 1000 ,1
SP Jain School of Global Management,['spjain.org'],['https://www.spjain.org/'],,1
Australian Defence Force Academy,['adfa.oz.au'],['http://www.adfa.oz.au/'],"adfa.manager@aafcans.gov.au, 02 7900 1221, 0700 - 1500",1
